title	label	URL
Spicy Kimchi Tofu Stew	nw	http://www.bonappetit.com/recipe/spicy-kimchi-tofu-stew
Devil's Food Layer Cake with Peppermint Frosting	w	http://www.bonappetit.com/recipe/devil-s-food-layer-cake-with-peppermint-frosting
Chocolate, Almond, and Banana Parfaits	w	http://www.bonappetit.com/recipe/chocolate-almond-and-banana-parfaits
Drained Yogurt	w	http://cooking.nytimes.com//recipes/1016437-drained-yogurt
Heirloom Tomato Salad	w	http://www.bonappetit.com/recipe/heirloom-tomato-salad
Halibut Steamed with Oranges, Tomatoes, and Olives	w	http://www.bonappetit.com/recipe/halibut-steamed-with-oranges-tomatoes-and-olives
Caramel Rice Flan	w	http://cooking.nytimes.com//recipes/1013575-caramel-rice-flan
Turkey and Spinach Curry	w	http://cooking.nytimes.com//recipes/1012887-turkey-and-spinach-curry
Butter-Fried Oysters	w	http://cooking.nytimes.com//recipes/1013849-butter-fried-oysters
Fruit Salad with Fennel, Watercress, and Smoked Salt	w	http://www.bonappetit.com/recipe/fruit-salad-fennel-watercress-smoked-salt
Rainbow Slaw	w	http://www.bonappetit.com/recipe/rainbow-slaw
Shrimp Rolls	nw	http://www.bonappetit.com/recipe/shrimp-rolls
Chocolate-Espresso Lava Cakes with Espresso Whipped Cream	w	http://www.bonappetit.com/recipe/chocolate-espresso-lava-cakes-with-espresso-whipped-cream
Tuna, Pickle, and Chopped-Vegetable Pita Sandwiches	w	http://www.bonappetit.com/recipe/tuna-pickle-and-chopped-vegetable-pita-sandwiches
Pink Pickled Turnips	w	http://www.bonappetit.com/recipe/pink-pickled-turnips
Shrimp Mofongo	nw	http://cooking.nytimes.com//recipes/1017776-shrimp-mofongo
Macaroni and Cheese with Mustard and Worcestershire	w	http://www.bonappetit.com/recipe/macaroni-and-cheese-with-mustard-and-worcestershire
French Onion Beef Noodle Soup	w	http://www.bonappetit.com/recipe/french-onion-beef-noodle-soup
Chicken Paillards with Tomato, Basil, and Roasted-Corn Relish	w	http://www.bonappetit.com/recipe/chicken-paillards-with-tomato-basil-and-roasted-corn-relish
Root Vegetable Tagine With Herbed Couscous	nw	http://cooking.nytimes.com//recipes/1019904-root-vegetable-tagine-with-herbed-couscous
Pasta With Wilted Greens, Bacon and Fried Egg	w	http://cooking.nytimes.com//recipes/1018906-pasta-with-wilted-greens-bacon-and-fried-egg
Flounder With Brown Butter, Lemon and Tarragon	w	http://cooking.nytimes.com//recipes/1019589-flounder-with-brown-butter-lemon-and-tarragon
Watermelon–Ancho Chile Salsa	nw	http://www.bonappetit.com/recipe/watermelon-ancho-chile-salsa
Maple-Ginger Cider Switchel	w	http://www.bonappetit.com/recipe/maple-ginger-cider-switchel
Chicken Noodle Salad With Creamy Sesame Dressing	nw	http://cooking.nytimes.com//recipes/1014965-chicken-noodle-salad-with-creamy-sesame-dressing
Roasted Brussels Sprouts with Warm Honey Glaze	w	http://www.bonappetit.com/recipe/roasted-brussels-sprouts-with-warm-honey-glaze
Butter-Roasted Halibut with Asparagus and Olives	w	http://www.bonappetit.com/recipe/butter-roasted-halibut-with-asparagus-and-olives
Oven-Barbecued Pimentón Brisket	w	http://cooking.nytimes.com//recipes/1013117-oven-barbecued-pimenton-brisket
Caesar Salad	w	http://cooking.nytimes.com//recipes/1018732-caesar-salad
Baby Back Ribs with Tamarind Glaze	w	http://www.bonappetit.com/recipe/nagaland-house-ribs-with-tamarind-glaze
Mayonnaise	w	http://cooking.nytimes.com//recipes/1012697-mayonnaise
Tofu Cabbage Salad with Kimchi Miso Dressing and Peanuts	nw	http://www.bonappetit.com/recipe/tofu-cabbage-salad-with-kimchi-miso-dressing-and-peanuts
Warm Baby Bananas with Dulce de Leche Sauce	nw	http://www.bonappetit.com/recipe/warm-baby-bananas-with-dulce-de-leche-sauce
Stuffed Flank Steak (Matambre)	nw	http://cooking.nytimes.com//recipes/1018640-stuffed-flank-steak-matambre
Grilled Hearts of Romaine with Blue Cheese Vinaigrette and Pickled Onions	w	http://www.bonappetit.com/recipe/grilled-hearts-of-romaine-with-blue-cheese-vinaigrette-and-pickled-onions
Radicchio Salad with Oranges and Olives	w	http://www.bonappetit.com/recipe/radicchio-salad-with-oranges-and-olives
Pasta With Fried Lemons and Chile Flakes	w	http://cooking.nytimes.com//recipes/1016815-pasta-with-fried-lemons-and-chile-flakes
Andouille and Beef Burgers with Spicy Mayo and Caramelized Onions	w	http://www.bonappetit.com/recipe/andouille-and-beef-burgers-with-spicy-mayo-and-caramelized-onions
Jammy Pepper Pasta Salad	w	http://www.bonappetit.com/recipe/jammy-pepper-pasta-salad
Easiest Caramel Apple Clafoutis	w	http://www.bonappetit.com/recipe/easiest-caramel-apple-clafoutis
Lamb and Sausage Pie	w	http://www.bonappetit.com/recipe/lamb-and-sausage-pie
Cabrales Cheese Soufflés with Endive and Asian Pear Salad	w	http://www.bonappetit.com/recipe/cabrales-cheese-souffl-s-with-endive-and-asian-pear-salad
Ají (Colombian-Style Fresh Salsa)	nw	http://cooking.nytimes.com//recipes/1021299-aji-colombian-style-fresh-salsa
Halibut Confit with Leeks, Coriander, and Lemon	w	http://www.bonappetit.com/recipe/halibut-confit-with-leeks-coriander-and-lemon
Strawberry and Sesame Swirl Soft Serve	w	http://cooking.nytimes.com//recipes/1021222-strawberry-and-sesame-swirl-soft-serve
Sbagliato	w	http://www.bonappetit.com/recipe/sbagliato
Green-Onion Risotto	w	http://www.bonappetit.com/recipe/green-onion-risotto
Tomato, Black-Eyed Pea and Bell Pepper Stew	w	http://www.bonappetit.com/recipe/tomato-black-eyed-pea-and-bell-pepper-stew
Crab Newburg à la Cross Creek	w	http://cooking.nytimes.com//recipes/1014872-crab-newburg-a-la-cross-creek
Endive Glazed with Coffee	w	http://www.bonappetit.com/recipe/endive-glazed-with-coffee
Cherry Smash	w	http://www.bonappetit.com/recipe/cherry-smash
Bess Feigenbaum’s Cabbage Soup	w	http://cooking.nytimes.com//recipes/1013432-bess-feigenbaums-cabbage-soup
Chopped Spring Salad	w	http://www.bonappetit.com/recipe/chopped-spring-salad
Romaine with Parmesan Vinaigrette	w	http://www.bonappetit.com/recipe/romaine-with-parmesan-vinaigrette
Lemon Pound Cake	w	http://www.bonappetit.com/recipe/lemon-pound-cake
Majorcan Bread and Vegetable Soup	w	http://cooking.nytimes.com//recipes/1013570-majorcan-bread-and-vegetable-soup
Goat Cheese Croquettes with Spiced Membrillo	w	http://www.bonappetit.com/recipe/goat-cheese-croquettes-with-spiced-membrillo
Grilled Mahi-Mahi with Avocado-Melon Salsa	w	http://www.bonappetit.com/recipe/grilled-mahi-mahi-with-avocado-melon-salsa
Savory Gruyere-Olive Bread	w	http://cooking.nytimes.com//recipes/12460-savory-gruyere-olive-bread
Strawberry Sorbato and Prosecco Floats	w	http://www.bonappetit.com/recipe/strawberry-sorbato-and-prosecco-floats
Curry Leaf Popcorn Chicken	nw	http://www.bonappetit.com/recipe/curry-leaf-popcorn-chicken
Turkish Lamb Pitas with Tomato Sauce	nw	http://www.bonappetit.com/recipe/turkish-lamb-pitas-with-tomato-sauce
Vegetable Kimchi	nw	http://www.bonappetit.com/recipe/vegetable-kimchi
Dave Arnold’s Italiano Stalliano	w	http://cooking.nytimes.com//recipes/1016174-dave-arnolds-italiano-stalliano
Braised Beans and Sardines With Fennel	w	http://www.bonappetit.com/recipe/braised-beans-and-sardines-with-fennel
Khachapuri Adjaruli (Georgian Cheese Bread Boat)	nw	http://cooking.nytimes.com//recipes/1021077-khachapuri-adjaruli-georgian-cheese-bread-boat
Curry-Creamed Spinach and Tofu (or Pork) With Potato Crust	w	http://cooking.nytimes.com//recipes/1016237-curry-creamed-spinach-and-tofu-or-pork-with-potato-crust
Crispy-Skinned Fish with Herb Sauce	w	http://www.bonappetit.com/recipe/crispy-skinned-fish-with-herb-sauce
Thai-Curry Seafood Stew	nw	http://www.bonappetit.com/recipe/thai-curry-seafood-stew
Missionary’s Downfall	w	http://cooking.nytimes.com//recipes/1016307-missionarys-downfall
Sweet Potato, Carrot and Dried Fruit Casserole	w	http://cooking.nytimes.com//recipes/1013447-sweet-potato-carrot-and-dried-fruit-casserole
Tandoori Rub	nw	http://www.bonappetit.com/recipe/tandoori-rub
Grilled Padrón Chiles with Fish Sauce and Lime	nw	http://www.bonappetit.com/recipe/grilled-padron-chiles-fish-sauce-lime
Mustard and Garlic Roast Goose	w	http://www.bonappetit.com/recipe/mustard-and-garlic-roast-goose
Almost Aunt Sandy’s Sweet and Sour Salmon	w	http://cooking.nytimes.com//recipes/1012766-almost-aunt-sandys-sweet-and-sour-salmon
Quick Miso Soup	nw	http://www.bonappetit.com/recipe/quick-miso-soup
The Ghazal	w	http://cooking.nytimes.com//recipes/1014302-the-ghazal
Spiced Vanilla Custards with Sweet Potato Streusel	w	http://www.bonappetit.com/recipe/spiced-vanilla-custards-with-sweet-potato-streusel
Vegetarian Black Bean Chili with Orange and Cumin	nw	http://www.bonappetit.com/recipe/vegetarian-black-bean-chili-with-orange-and-cumin
Panisses with Sage Leaves and Lemon	w	http://www.bonappetit.com/recipe/panisses-with-sage-leaves-and-lemon
Hannah's Pancakes	w	http://www.bonappetit.com/recipe/hannah-s-pancakes
Peanut and Scallion Relish	nw	http://www.bonappetit.com/recipe/peanut-and-scallion-relish
Garganelli with Crab and Broccolini	w	http://www.bonappetit.com/recipe/garganelli-with-crab-and-broccolini
Mashed Fava Bean Toasts	w	http://cooking.nytimes.com//recipes/1018096-mashed-fava-bean-toasts
Gluten-Free Lemon Bars	w	http://www.bonappetit.com/recipe/gluten-free-lemon-bars
Asian Chicken Salad with Roasted Peanuts	nw	http://www.bonappetit.com/recipe/asian-chicken-salad-with-roasted-peanuts
Swedish Almond Cake	w	http://cooking.nytimes.com//recipes/1020767-swedish-almond-cake
125th Street Malanga Mash	w	http://www.bonappetit.com/recipe/125th-street-malanga-mash
T.H.Ghee	w	http://www.bonappetit.com/recipe/thghee
Tex-Mex Breakfast Waffle Nachos	w	http://www.bonappetit.com/recipe/tex-mex-breakfast-waffle-nachos
Mixed Greens with Marinated Anchovies	w	http://www.bonappetit.com/recipe/mixed-greens-with-marinated-anchovies
Yogurt or Buttermilk Soup With Toasted Barley	w	http://cooking.nytimes.com//recipes/1012722-yogurt-or-buttermilk-soup-with-toasted-barley
Roasted Beet Soup with Crème Fraîche	w	http://www.bonappetit.com/recipe/roasted-beet-soup-with-cr-me-fra-che
Apple, Goat Cheese, and Honey Tartlets	w	http://www.bonappetit.com/recipe/apple-goat-cheese-and-honey-tartlets
Polenta	w	http://cooking.nytimes.com//recipes/1014329-polenta
Meatballs with Mint	w	http://www.bonappetit.com/recipe/meatballs-with-mint
Parsnip Purée	w	http://www.bonappetit.com/recipe/parsnip-puree
Kansas City Spareribs	w	http://www.bonappetit.com/recipe/kansas-city-spareribs
Five-Peppercorn Fish Fillets	nw	http://cooking.nytimes.com//recipes/1018471-five-peppercorn-fish-fillets
Pork Soup Dumplings	nw	http://www.bonappetit.com/recipe/pork-soup-dumplings
Cream Cheese Swirl Tart With Chocolate Crust	w	http://cooking.nytimes.com//recipes/1021067-cream-cheese-swirl-tart-with-chocolate-crust
Rhubarb Compote	w	http://cooking.nytimes.com//recipes/1018146-rhubarb-compote
Chicken Curry Laksa	nw	http://www.bonappetit.com/recipe/chicken-curry-laksa
